lexeme,variants,msg,mpl,fsg,fpl
abaissé,abaissé,abEse,abEse,abEse,abEse
abandonné,abandonné,abɑ̃dOne,abɑ̃dOne,abɑ̃dOne,abɑ̃dOne
abandonnique,abandonnique,abɑ̃dOnik,abɑ̃dOnik,abɑ̃dOnik,abɑ̃dOnik
abasourdi,abasourdi,abazuʁdi,abazuʁdi,abazuʁdi,abazuʁdi
abasourdissant,abasourdissant,abazuʁdisɑ̃,abazuʁdisɑ̃,abazuʁdisɑ̃t,abazuʁdisɑ̃t
abâtardi,abâtardi,abataʁdi,abataʁdi,abataʁdi,abataʁdi
abattu,abattu,abaty,abaty,abaty,abaty
abbatial,abbatial,abasjal,abasjo,abasjal,abasjal
abdominal,abdominal,abdOminal,abdOmino,abdOminal,abdOminal
abducteur,abducteur,abdyktœʁ,abdyktœʁ,abdyktʁis,abdyktʁis
aberrant,aberrant,abEʁɑ̃,abEʁɑ̃,abEʁɑ̃t,abEʁɑ̃t
abêti,abêti,abEti,abEti,abEti,abEti
abhorré,abhorré,abOʁe,abOʁe,abOʁe,abOʁe
abject,abject,abʒɛkt,abʒɛkt,abʒɛkt,abʒɛkt
abkhaze,abkhaze,abkaz,abkaz,abkaz,abkaz
aboli,aboli,abOli,abOli,abOli,abOli
abolitionniste,abolitionniste,abOlisjOnist,abOlisjOnist,abOlisjOnist,abOlisjOnist
abominable,abominable,abOminabl,abOminabl,abOminabl,abOminabl
abondant,abondant,abɔ̃dɑ̃,abɔ̃dɑ̃,abɔ̃dɑ̃t,abɔ̃dɑ̃t
abonné,abonné,abOne,abOne,abOne,abOne
abordable,abordable,abɔʁdabl,abɔʁdabl,abɔʁdabl,abɔʁdabl
abordé,abordé,abɔʁde,abɔʁde,abɔʁde,abɔʁde
aborigène,aborigène,abOʁiʒɛn,abOʁiʒɛn,abOʁiʒɛn,abOʁiʒɛn
abortif,abortif,abɔʁtif,abɔʁtif,abɔʁtiv,abɔʁtiv
aboulique,aboulique,abulik,abulik,abulik,abulik
abouti,abouti,abuti,abuti,abuti,abuti
aboyant,aboyant,abwajɑ̃,abwajɑ̃,abwajɑ̃t,abwajɑ̃t
aboyeur,aboyeur,abwajœʁ,abwajœʁ,abwajøz,abwajøz
abracadabrant,abracadabrant,abʁakadabʁɑ̃,abʁakadabʁɑ̃,abʁakadabʁɑ̃t,abʁakadabʁɑ̃t
abrasif,abrasif,abʁazif,abʁazif,abʁaziv,abʁaziv
abrégé,abrégé,abʁEʒe,abʁEʒe,abʁEʒe,abʁEʒe
abreuvé,abreuvé,abʁØve,abʁØve,abʁØve,abʁØve
abréviatif,abréviatif,abʁEvjatif,abʁEvjatif,abʁEvjativ,abʁEvjativ
abricot,abricot,abʁiko,abʁiko,abʁiko,abʁiko
abritant,abritant,abʁitɑ̃,abʁitɑ̃,abʁitɑ̃t,abʁitɑ̃t
abrité,abrité,abʁite,abʁite,abʁite,abʁite
abrogé,abrogé,abʁOʒe,abʁOʒe,abʁOʒe,abʁOʒe
abrupt,abrupt,abʁypt,abʁypt,abʁypt,abʁypt
abruti,abruti,abʁyti,abʁyti,abʁyti,abʁyti
abrutissant,abrutissant,abʁytisɑ̃,abʁytisɑ̃,abʁytisɑ̃t,abʁytisɑ̃t
abscons,abscons,apskɔ̃,apskɔ̃,apskɔ̃s,apskɔ̃s
absent,absent,apsɑ̃,apsɑ̃,apsɑ̃t,apsɑ̃t
absentéiste,absentéiste,apsɑ̃tEist,apsɑ̃tEist,apsɑ̃tEist,apsɑ̃tEist
absidial,absidial,apsidjal,apsidjo,apsidjal,apsidjal
absolu,absolu,apsOly,apsOly,apsOly,apsOly
absolvant,absolvant,apsɔlvɑ̃,apsɔlvɑ̃,apsɔlvɑ̃t,apsɔlvɑ̃t
absorbable,absorbable,apsɔʁbabl,apsɔʁbabl,apsɔʁbabl,apsɔʁbabl
absorbant,absorbant,apsɔʁbɑ̃,apsɔʁbɑ̃,apsɔʁbɑ̃t,apsɔʁbɑ̃t
absorbé,absorbé,apsɔʁbe,apsɔʁbe,apsɔʁbe,apsɔʁbe
absous,absous:absout,apsu,apsu,apsut,apsut
