lexeme,variants,msg,mpl,fsg,fpl
abaissé,abaissé,abaissé,abaissés,abaissée,abaissées
abandonné,abandonné,abandonné,abandonnés,abandonnée,abandonnées
abandonnique,abandonnique,abandonnique,abandonniques,abandonnique,abandonniques
abasourdi,abasourdi,abasourdi,abasourdis,abasourdie,abasourdies
abasourdissant,abasourdissant,abasourdissant,abasourdissants,abasourdissante,abasourdissantes
abâtardi,abâtardi,abâtardi,abâtardis,abâtardie,abâtardies
abattu,abattu,abattu,abattus,abattue,abattues
abbatial,abbatial,abbatial,abbatiaux,abbatiale,abbatiales
abdominal,abdominal,abdominal,abdominaux,abdominale,abdominales
abducteur,abducteur,abducteur,abducteurs,abductrice,abductrices
aberrant,aberrant,aberrant,aberrants,aberrante,aberrantes
abêti,abêti,abêti,abêti,abêti,abêti
abhorré,abhorré,abhorré,abhorré,abhorré,abhorré
abject,abject,abject,abjects,abjecte,abjectes
abkhaze,abkhaze,abkhaze,abkhazes,abkhaze,abkhazes
aboli,aboli,aboli,abolis,abolie,abolies
abolitionniste,abolitionniste,abolitionniste,abolitionnistes,abolitionniste,abolitionnistes
abominable,abominable,abominable,abominables,abominable,abominables
abondant,abondant,abondant,abondants,abondante,abondantes
abonné,abonné,abonné,abonnés,abonnée,abonnées
abordable,abordable,abordable,abordables,abordable,abordables
abordé,abordé,abordé,abordés,abordée,abordées
aborigène,aborigène,aborigène,aborigènes,aborigène,aborigènes
abortif,abortif,abortif,abortifs,abortive,abortives
aboulique,aboulique,aboulique,abouliques,aboulique,abouliques
abouti,abouti,abouti,aboutis,aboutie,abouties
aboyant,aboyant,aboyant,aboyant,aboyant,aboyant
aboyeur,aboyeur,aboyeur,aboyeur,aboyeur,aboyeur
abracadabrant,abracadabrant,abracadabrant,abracadabrants,abracadabrante,abracadabrantes
abrasif,abrasif,abrasif,abrasifs,abrasive,abrasives
abrégé,abrégé,abrégé,abrégé,abrégé,abrégé
abreuvé,abreuvé,abreuvé,abreuvé,abreuvé,abreuvé
abréviatif,abréviatif,abréviatif,abréviatifs,abréviative,abréviatives
abricot,abricot,abricot,abricot,abricot,abricot
abritant,abritant,abritant,abritant,abritant,abritant
abrité,abrité,abrité,abrités,abritée,abritées
abrogé,abrogé,abrogé,abrogé,abrogé,abrogé
abrupt,abrupt,abrupt,abrupts,abrupte,abruptes
abruti,abruti,abruti,abrutis,abrutie,abruties
abrutissant,abrutissant,abrutissant,abrutissants,abrutissante,abrutissantes
abscons,abscons,abscons,abscons,absconse,absconses
absent,absent,absent,absents,absente,absentes
absentéiste,absentéiste,absentéiste,absentéistes,absentéiste,absentéistes
absidial,absidial,absidial,absidiaux,absidiale,absidiales
absolu,absolu,absolu,absolus,absolue,absolues
absolvant,absolvant,absolvant,absolvant,absolvant,absolvant
absorbable,absorbable,absorbable,absorbables,absorbable,absorbables
absorbant,absorbant,absorbant,absorbants,absorbante,absorbantes
absorbé,absorbé,absorbé,absorbés,absorbée,absorbées
absous,absous:absout,absous,absous,absous,absous
abstenu,abstenu,abstenu,abstenu,abstenu,abstenu
abstinent,abstinent,abstinent,abstinents,abstinente,abstinentes
abstrait,abstrait,abstrait,abstraits,abstraite,abstraites
abstrus,abstrus,abstrus,abstrus,abstruse,abstruses
absurde,absurde,absurde,absurdes,absurde,absurdes
abusé,abusé,abusé,abusé,abusé,abusé
abusif,abusif,abusif,abusifs,abusive,abusives
abyssal,abyssal,abyssal,abyssaux,abyssale,abyssales
abyssin,abyssin,abyssin,abyssins,abyssine,abyssines
abyssinien,abyssinien,abyssinien,abyssiniens,abyssinienne,abyssiniennes
académique,académique,académique,académiques,académique,académiques
acadien,acadien:akkadien,acadien,acadiens,acadienne,acadiennes
acajou,acajou,acajou,acajou,acajou,acajou
acariâtre,acariâtre,acariâtre,acariâtres,acariâtre,acariâtres
accablant,accablant,accablant,accablants,accablante,accablantes
accablé,accablé,accablé,accablés,accablée,accablées
accaparant,accaparant,accaparant,accaparants,accaparante,accaparantes
accapareur,accapareur,accapareur,accapareurs,accapareuse,accapareuses
accélérant,accélérant,accélérant,accélérant,accélérant,accélérant
accélérateur,accélérateur,accélérateur,accélérateurs,accélératrice,accélératrices
accéléré,accéléré,accéléré,accélérés,accélérée,accélérées
accentué,accentué,accentué,accentués,accentuée,accentuées
acceptable,acceptable,acceptable,acceptables,acceptable,acceptables
accessible,accessible,accessible,accessibles,accessible,accessibles
accessoire,accessoire,accessoire,accessoires,accessoire,accessoires
accidenté,accidenté,accidenté,accidentés,accidentée,accidentées
accidentel,accidentel,accidentel,accidentels,accidentelle,accidentelles
accolé,accolé,accolé,accolés,accolée,accolées
accommodant,accommodant,accommodant,accommodants,accommodante,accommodantes
accommodateur,accommodateur,accommodateur,accommodateurs,accommodatrice,accommodatrices
accompagnant,accompagnant,accompagnant,accompagnant,accompagnant,accompagnant
accompagné,accompagné,accompagné,accompagnés,accompagnée,accompagnées
accompli,accompli,accompli,accomplis,accomplie,accomplies
accore,accore,accore,accores,accore,accores
accort,accort,accort,accorts,accorte,accortes
accostant,accostant,accostant,accostant,accostant,accostant
accouchant,accouchant,accouchant,accouchant,accouchant,accouchant
accoudé,accoudé,accoudé,accoudés,accoudée,accoudées
accoutré,accoutré,accoutré,accoutré,accoutré,accoutré
accoutumé,accoutumé,accoutumé,accoutumés,accoutumée,accoutumées
accrédité,accrédité,accrédité,accrédités,accréditée,accréditées
accro,accro,accro,accros,accro,accros
accrochant,accrochant,accrochant,accrochant,accrochant,accrochant
accroché,accroché,accroché,accrochés,accrochée,accrochées
accrocheur,accrocheur,accrocheur,accrocheurs,accrocheuse,accrocheuses
accroupi,accroupi,accroupi,accroupi,accroupi,accroupi
accru,accru,accru,accrus,accrue,accrues
accueillant,accueillant,accueillant,accueillants,accueillante,accueillantes
acculé,acculé,acculé,acculé,acculé,acculé
accusateur,accusateur,accusateur,accusateurs,accusatrice,accusatrices
accusatoire,accusatoire,accusatoire,accusatoires,accusatoire,accusatoires
accusé,accusé,accusé,accusés,accusée,accusées
acellulaire,acellulaire,acellulaire,acellulaires,acellulaire,acellulaires
acéphale,acéphale,acéphale,acéphales,acéphale,acéphales
acerbe,acerbe,acerbe,acerbes,acerbe,acerbes
acéré,acéré,acéré,acérés,acérée,acérées
acétique,acétique:ascétique,acétique,acétiques,acétique,acétiques
acétylsalicylique,acétylsalicylique,acétylsalicylique,acétylsalicyliques,acétylsalicylique,acétylsalicyliques
achalandé,achalandé,achalandé,achalandés,achalandée,achalandées
