lexeme,variants,prs.1sg,prs.2sg,prs.3sg,prs.1pl,prs.2pl,prs.3pl,ipfv.1sg,ipfv.2sg,ipfv.3sg,ipfv.1pl,ipfv.2pl,ipfv.3pl,fut.1sg,fut.2sg,fut.3sg,fut.1pl,fut.2pl,fut.3pl,cond.1sg,cond.2sg,cond.3sg,cond.1pl,cond.2pl,cond.3pl,sbjv.1sg,sbjv.2sg,sbjv.3sg,sbjv.1pl,sbjv.2pl,sbjv.3pl,pst.1sg,pst.2sg,pst.3sg,pst.1pl,pst.2pl,pst.3pl,pst.sbjv.1sg,pst.sbjv.2sg,pst.sbjv.3sg,pst.sbjv.1pl,pst.sbjv.2pl,pst.sbjv.3pl,imp.2sg,imp.1pl,imp.2pl
abaisser,abaisser,abaisse,abaisses,abaisse,abaissons,abaissez,abaissent,abaissais,abaissais,abaissait,abaissions,abaissiez,abaissaient,abaisserai,abaisseras,abaissera,abaisserons,abaisserez,abaisseront,abaisserais,abaisserais,abaisserait,abaisserions,abaisseriez,abaisseraient,abaisse,abaisses,abaisse,abaissions,abaissiez,abaissent,abaissai,abaissas,abaissa,abaissâmes,abaissâtes,abaissèrent,abaissasse,abaissasses,abaissât,abaissassions,abaissassiez,abaissassent,abaisse,abaissons,abaissez
abandonner,abandonner,abandonne,abandonnes,abandonne,abandonnons,abandonnez,abandonnent,abandonnais,abandonnais,abandonnait,abandonnions,abandonniez,abandonnaient,abandonnerai,abandonneras,abandonnera,abandonnerons,abandonnerez,abandonneront,abandonnerais,abandonnerais,abandonnerait,abandonnerions,abandonneriez,abandonneraient,abandonne,abandonnes,abandonne,abandonnions,abandonniez,abandonnent,abandonnai,abandonnas,abandonna,abandonnâmes,abandonnâtes,abandonnèrent,abandonnasse,abandonnasses,abandonnât,abandonnassions,abandonnassiez,abandonnassent,abandonne,abandonnons,abandonnez
abasourdir,abasourdir,abasourdis,abasourdis,abasourdit,abasourdissons,abasourdissez,abasourdissent,abasourdissais,abasourdissais,abasourdissait,abasourdissions,abasourdissiez,abasourdissaient,abasourdirai,abasourdiras,abasourdira,abasourdirons,abasourdirez,abasourdiront,abasourdirais,abasourdirais,abasourdirait,abasourdirions,abasourdiriez,abasourdiraient,abasourdisse,abasourdisses,abasourdisse,abasourdissions,abasourdissiez,abasourdissent,abasourdis,abasourdis,abasourdit,abasourdîmes,abasourdîtes,abasourdirent,abasourdisse,abasourdisses,abasourdît,abasourdissions,abasourdissiez,abasourdissent,abasourdis,abasourdissons,abasourdissez
abâtardir,abâtardir,abâtardis,abâtardis,abâtardit,abâtardissons,abâtardissez,abâtardissent,abâtardissais,abâtardissais,abâtardissait,abâtardissions,abâtardissiez,abâtardissaient,abâtardirai,abâtardiras,abâtardira,abâtardirons,abâtardirez,abâtardiront,abâtardirais,abâtardirais,abâtardirait,abâtardirions,abâtardiriez,abâtardiraient,abâtardisse,abâtardisses,abâtardisse,abâtardissions,abâtardissiez,abâtardissent,abâtardis,abâtardis,abâtardit,abâtardîmes,abâtardîtes,abâtardirent,abâtardisse,abâtardisses,abâtardît,abâtardissions,abâtardissiez,abâtardissent,abâtardis,abâtardissons,abâtardissez
abattre,abattre,abats,abats,abat,abattons,abattez,abattent,abattais,abattais,abattait,abattions,abattiez,abattaient,abattrai,abattras,abattra,abattrons,abattrez,abattront,abattrais,abattrais,abattrait,abattrions,abattriez,abattraient,abatte,abattes,abatte,abattions,abattiez,abattent,abattis,abattis,abattit,abattîmes,abattîtes,abattirent,abattisse,abattisses,abattît,abattissions,abattissiez,abattissent,abats,abattons,abattez
abdiquer,abdiquer,abdique,abdiques,abdique,abdiquons,abdiquez,abdiquent,abdiquais,abdiquais,abdiquait,abdiquions,abdiquiez,abdiquaient,abdiquerai,abdiqueras,abdiquera,abdiquerons,abdiquerez,abdiqueront,abdiquerais,abdiquerais,abdiquerait,abdiquerions,abdiqueriez,abdiqueraient,abdique,abdiques,abdique,abdiquions,abdiquiez,abdiquent,abdiquai,abdiquas,abdiqua,abdiquâmes,abdiquâtes,abdiquèrent,abdiquasse,abdiquasses,abdiquât,abdiquassions,abdiquassiez,abdiquassent,abdique,abdiquons,abdiquez
abêtir,abêtir,abêtis,abêtis,abêtit,abêtissons,abêtissez,abêtissent,abêtissais,abêtissais,abêtissait,abêtissions,abêtissiez,abêtissaient,abêtirai,abêtiras,abêtira,abêtirons,abêtirez,abêtiront,abêtirais,abêtirais,abêtirait,abêtirions,abêtiriez,abêtiraient,abêtisse,abêtisses,abêtisse,abêtissions,abêtissiez,abêtissent,abêtis,abêtis,abêtit,abêtîmes,abêtîtes,abêtirent,abêtisse,abêtisses,abêtît,abêtissions,abêtissiez,abêtissent,abêtis,abêtissons,abêtissez
abhorrer,abhorrer,abhorre,abhorres,abhorre,abhorrons,abhorrez,abhorrent,abhorrais,abhorrais,abhorrait,abhorrions,abhorriez,abhorraient,abhorrerai,abhorreras,abhorrera,abhorrerons,abhorrerez,abhorreront,abhorrerais,abhorrerais,abhorrerait,abhorrerions,abhorreriez,abhorreraient,abhorre,abhorres,abhorre,abhorrions,abhorriez,abhorrent,abhorrai,abhorras,abhorra,abhorrâmes,abhorrâtes,abhorrèrent,abhorrasse,abhorrasses,abhorrât,abhorrassions,abhorrassiez,abhorrassent,abhorre,abhorrons,abhorrez
abîmer,abîmer,abîme,abîmes,abîme,abîmons,abîmez,abîment,abîmais,abîmais,abîmait,abîmions,abîmiez,abîmaient,abîmerai,abîmeras,abîmera,abîmerons,abîmerez,abîmeront,abîmerais,abîmerais,abîmerait,abîmerions,abîmeriez,abîmeraient,abîme,abîmes,abîme,abîmions,abîmiez,abîment,abîmai,abîmas,abîma,abîmâmes,abîmâtes,abîmèrent,abîmasse,abîmasses,abîmât,abîmassions,abîmassiez,abîmassent,abîme,abîmons,abîmez
abjurer,abjurer,abjure,abjures,abjure,abjurons,abjurez,abjurent,abjurais,abjurais,abjurait,abjurions,abjuriez,abjuraient,abjurerai,abjureras,abjurera,abjurerons,abjurerez,abjureront,abjurerais,abjurerais,abjurerait,abjurerions,abjureriez,abjureraient,abjure,abjures,abjure,abjurions,abjuriez,abjurent,abjurai,abjuras,abjura,abjurâmes,abjurâtes,abjurèrent,abjurasse,abjurasses,abjurât,abjurassions,abjurassiez,abjurassent,abjure,abjurons,abjurez
